Waktu aktual	Actual time
Pembaca Qur'an	Qur'an Reader
Pilih bacaan	Select reading
Surah	Surah
Mulai ayat	Starting verse
Jumlah	Count
1 surah penuh	One complete surah
Transliterasi	Transliteration
Otomatis / tidak tersedia	Automatic / unavailable
Qari / riwayat	Reciter / transmission
Memuat qari…	Loading reciters…
Tata letak	Layout
Sebaris	Inline
Kartu	Cards
Latin	Latin
Ukuran Arab	Arabic size
Jarak baris	Line spacing
Warna Tajwid	Tajwid colors
Tema	Theme
Terang	Light
Gelap	Dark
Opasitas	Opacity
Tampilkan legenda	Show legend
Simpan warna	Save colors
Reset default	Reset defaults
Tampilkan ayat	Show verses
Pilih surah	Select surah
Sebelumnya	Previous
Berikutnya	Next
Layar penuh	Full screen
Data kanonik ditampilkan dari database lokal. Status validasi teknis tidak otomatis berarti verifikasi ilmiah.	Canonical data is displayed from the local database. Technical validation does not imply scholarly verification.
Pemutar murattal	Qur'an audio player
Ayat sebelumnya	Previous verse
Putar	Play
Ulang dari awal	Restart
Ayat berikutnya	Next verse
Putar 1 surah	Play one surah
Pilih tombol putar pada ayat	Select the play button on a verse
Posisi audio	Audio position
Ulang	Repeat
Tidak	No
Ayat ini	This verse
Rentang tampil	Displayed range
Kecepatan	Speed
Lanjut otomatis	Auto-advance
Online/lokal otomatis	Automatic online/local
Legenda warna Tajwid	Tajwid color legend
Pembaca Tafsir	Tafsir Reader
Pilih karya	Select work
Karya tafsir	Tafsir work
Bahasa edisi	Edition language
Edisi lokal / sumber dokumen	Local edition / document source
Tampilkan tafsir	Show tafsir
Teks dari edisi lokal maupun dokumen/PDF yang sudah diproses ditampilkan bersama sumbernya.	Text from local editions and processed documents/PDFs is displayed with its source.
Belum memilih karya	No work selected
Pilih karya untuk membaca teks sumber dan provenance-nya.	Select a work to read its source text and provenance.
Halaman tafsir	Tafsir page
Pengelola Data Tafsir	Tafsir Data Manager
Katalog karya, edisi bahasa, sumber, lisensi, arsip offline, dan pemeriksaan integritas	Works, language editions, sources, licenses, offline archives, and integrity checks
Cari karya / mufassir / provider	Search work / commentator / provider
Contoh: Ibn Kathir atau al-Tabari	Example: Ibn Kathir or al-Tabari
Bahasa edisi sumber	Source edition language
Semua edisi sumber	All source editions
Ada data lokal	Local data available
Referensi online	Online reference
Belum ditemukan	Not found
Perlu review	Needs review
Template paket JSON	JSON package template
Pemisahan status:	Separate statuses:
sumber terverifikasi, validasi teknis, izin lisensi, dan review isi adalah empat hal berbeda. File yang ada tidak otomatis dianggap lengkap atau resmi.	Source verification, technical validation, licensing, and content review are four distinct checks. An existing file is not automatically complete or official.
Adaptor penyedia	Provider adapters
Adaptor penemuan & impor	Discovery & import adapters
Jejak audit	Audit trail
Import dan verifikasi terakhir	Latest import and verification
Koleksi	Collection
Semua koleksi	All collections
Nomor / teks	Number / text
Cari dalam koleksi	Search collection
Tampilkan Latin	Show Latin text
Per halaman	Per page
Tampilkan	Show
Pembaca Hadis	Hadith Reader
Koleksi lokal	Local collection
Memuat audit integritas penilaian hadis…	Loading hadith grading integrity audit…
Cara membaca:	How to read:
setiap badge adalah penilaian yang dinisbatkan kepada penilai/sumber yang tertulis—bukan vonis sistem. Perbedaan antarsumber disimpan berdampingan. Label dari agregator yang belum menyediakan rujukan langsung ditandai secara khusus.	Each badge attributes a grading to its stated grader/source; it is not a system ruling. Differences between sources are retained side by side. Aggregator labels without direct references are marked separately.
Materi siap presentasi	Presentation-ready material
Tampilkan materi Qur'an, tafsir, dan hadis sebagai slide yang rapi dengan navigasi sebelumnya dan berikutnya.	Display Qur'an, tafsir, and hadith material as slides with previous and next navigation.
Penyuntingan antarmuka	Interface Editing
Tambah Materi Presentasi	Add presentation material
Mode tambah: buat materi baru.	Add mode: create new material.
Judul	Title
Contoh: Kajian Sabar	Example: A study of patience
Deskripsi	Description
Tambahkan ringkasan atau tujuan presentasi…	Add a summary or presentation objective…
Draf	Draft
Terbit	Published
Arsip	Archived
Bahasa sumber	Source language
Pilih bahasa	Select language
Bahasa Arab	Arabic language
Bahasa Inggris	English language
Jenis sumber	Source type
Pilih jenis sumber	Select source type
Text / materi penceramah	Text / speaker material
Gambar (JPG, PNG, GIF, WebP, SVG)	Image (JPG, PNG, GIF, WebP, SVG)
Tambah slide	Add slide
Daftar laman materi	Material page list
Simpan Materi Baru	Save new material
Kembali	Back
Daftar materi ibadah	Worship material list
Tambah Materi	Add material
Muat	Load
Mode presentasi siap digunakan	Presentation mode is ready
Materi ditampilkan sebagai slide. Gunakan tombol navigasi untuk berpindah slide.	Material is displayed as slides. Use the navigation buttons to move between slides.
Review / mode presentasi	Review / presentation mode
Kembali ke daftar	Back to list
Mode fokus	Focus mode
← Sebelumnya	← Previous
Berikutnya →	Next →
Dasar Membaca Al-Qur'an	Qur'an reading basics
Materi bertahap dari huruf hingga ayat lengkap.	Progressive material from letters to complete verses.
Pengguna aktif	Active user
Pengguna aktif modul Iqro	Active Iqro user
Memuat pengguna…	Loading users…
Lanjutkan materi	Continue learning
Mulai review	Start review
Riwayat tes	Test history
Cetak materi	Print material
Batas kemampuan:	Capability limits:
Latin dan suara perangkat hanya bantuan awal. Sistem menilai jawaban latihan, tidak menilai ketepatan suara atau makhraj; mintalah koreksi guru yang kompeten.	Latin text and device audio are introductory aids. The system grades exercise answers, not pronunciation or articulation; seek correction from a qualified teacher.
Pintasan Materi:	Learning shortcuts:
panah kiri/kanan memindahkan contoh dan Spasi memutar audio. Pintasan diabaikan ketika kursor berada pada form atau tombol.	Left/right arrows navigate examples and Space plays audio. Shortcuts are ignored while a form field or button has focus.
Ringkasan progres Learning	Learning progress summary
Bagian modul Iqro	Iqro module sections
Materi	Material
Siswa	Students
Pengajar	Teachers
Riwayat	History
Pengaturan	Settings
Pengenalan sebelum latihan baca	Introduction before reading practice
Huruf Hijaiyah	Arabic letters
Kenali nama serta bentuk tunggal, awal, tengah, dan akhir. Alif tetap dipelajari di sini; latihan baca awal Iqro tetap dimulai dari Ba, Ta, Tsa.	Learn names and isolated, initial, medial, and final forms. Alif is introduced here; early Iqro reading practice starts with Ba, Ta, and Tha.
Tambah huruf	Add letter
Memuat huruf Hijaiyah…	Loading Arabic letters…
Daftar isi lengkap	Complete contents
Jilid dan bab Iqro	Iqro volumes and chapters
Seluruh materi dapat dibuka. Status selesai mempelajari materi tidak sama dengan lulus ujian formal.	All material is accessible. Completing material is separate from passing a formal test.
Siswa yang belajar	Student learning
Pilih siswa untuk progres materi	Select student for learning progress
Pilih siswa untuk mencatat progres	Select a student to record progress
Pengajar pendamping	Supporting teacher
Pilih pengajar pendamping materi	Select supporting teacher
Pilih pengajar untuk mencatat progres	Select a teacher to record progress
Jilid	Volume
Pilih jilid Iqro	Select Iqro volume
Bab	Chapter
Pilih bab Iqro	Select Iqro chapter
Buka materi	Open material
Lihat semua materi	View all material
Daftar jilid Iqro	Iqro volume list
Daftar isi seluruh materi Iqro	Contents of all Iqro material
Kelola jilid, bab, materi, dan contoh	Manage volumes, chapters, material, and examples
Perubahan memakai nonaktifkan/aktifkan, bukan menghapus riwayat. Pilih jenis data lalu tambah atau edit dari daftar.	Records are activated or deactivated while history is preserved. Select a data type, then add or edit from the list.
Jenis data	Data type
Contoh	Example
Jilid induk	Parent volume
Bab induk	Parent chapter
Materi induk	Parent material
Urutan	Order
Kunci data	Data key
otomatis-bila-kosong	automatic-if-empty
Judul Indonesia	Indonesian title
Judul English	English title
Teks Arab	Arabic text
Instruksi / catatan	Instructions / notes
Tingkat kesulitan	Difficulty level
Pemula	Beginner
Menengah	Intermediate
Lanjut	Advanced
Aktif	Active
Simpan	Save
Form baru	New form
Pilih jenis data.	Select a data type.
Pilih jilid dan bab	Select volume and chapter
Belum ada materi terbuka	No material open
Tekan Lanjutkan materi atau pilih salah satu bab pada daftar isi.	Press Continue learning or select a chapter from the contents.
Navigasi bab	Chapter navigation
Daftar isi	Contents
Bab sebelumnya	Previous chapter
Bab berikutnya	Next chapter
Progres contoh materi	Example progress
BARU	NEW
Indikator pola pembelajaran	Learning pattern indicator
Bantuan Latin akan tampil sesuai pengaturan.	Latin assistance follows your settings.
Dengarkan	Listen
Ulang 2×	Repeat 2×
Ulang 3×	Repeat 3×
Tampilkan/sembunyikan Latin	Show/hide Latin text
Status sumber dan bukti materi	Material source and evidence status
Sumber, lisensi, dan status	Source, license, and status
Navigasi contoh	Example navigation
Contoh sebelumnya	Previous example
Contoh berikutnya	Next example
Tentang materi	About this material
Materi berisi penjelasan dan contoh. Review dan Test tersedia pada tab tersendiri.	Material contains explanations and examples. Review and Test have separate tabs.
Legenda kontekstual	Contextual legend
Tandai bab setelah seluruh contoh dipelajari. Ini hanya progres materi, bukan nilai atau kelulusan Test.	Mark the chapter after studying all examples. This records learning progress, not a test grade or pass.
Periksa progres materi	Check learning progress
Latihan penguatan	Reinforcement practice
Review memakai bank soal khusus dan tidak membuat atau mengubah nilai Test formal.	Review uses a dedicated question bank and does not create or change formal test grades.
Bab yang direview	Chapter under review
Jenis review	Review type
Review terjadwal	Scheduled review
Review satu bab	Single-chapter review
Review remedial	Remedial review
Acak urutan item	Shuffle items
Mulai sesi review	Start review session
Terpisah dari ujian:	Separate from tests:
bantuan dan koreksi langsung boleh dipakai di sini. Hasil review memperbarui penguasaan materi, tetapi bukan nilai kelulusan resmi.	Assistance and immediate corrections are allowed here. Review updates mastery, not an official passing grade.
Sesi review	Review session
Belum dimulai	Not started
Catatan pengajar untuk item ini	Teacher notes for this item
Catatan koreksi atau pengulangan	Correction or repetition notes
Memakai petunjuk	Used a hint
Pengulangan	Repetition
Tandai ulangi	Mark for repetition
Tandai benar	Mark correct
Selesaikan review	Finish review
Catatan akhir sesi	End-of-session notes
Ringkasan Review tanpa nilai formal	Review summary without formal grades
Kelola bank item Review	Manage review question bank
Bab sumber	Source chapter
Materi sumber	Source material
Bacaan yang diharapkan	Expected reading
Kesulitan	Difficulty
Catatan editor	Editor notes
Simpan item Review	Save review item
Diagnostik lama	Legacy diagnostic
Tes penempatan ini bersifat diagnostik dan tidak masuk riwayat ujian formal.	This placement test is diagnostic and is excluded from formal test history.
Buka tes penempatan diagnostik	Open diagnostic placement test
Penilaian resmi	Formal assessment
Satu sesi menghasilkan satu attempt baru. Jawaban benar dan skor baru ditampilkan setelah examiner memfinalisasi.	Each session creates a new attempt. Correct answers and scores appear only after examiner finalization.
Pengajar pendamping (opsional)	Supporting teacher (optional)
Tanpa pengajar pendamping	No supporting teacher
Penguji / examiner	Examiner
Jenis test	Test type
Ujian jilid	Volume test
Ujian bab	Chapter test
Ujian penempatan	Placement test
Ujian remedial	Remedial test
Cakupan materi	Material scope
Seluruh jilid terpilih	Entire selected volume
Seluruh Bab terpilih	Entire selected chapter
Satu Materi	One material unit
Rentang Materi dalam Bab	Material range within a chapter
Materi awal	Starting material
Materi akhir	Ending material
Semua tingkat	All levels
Jumlah item	Item count
0 = seluruh item dalam cakupan	0 = all items in scope
Mulai attempt baru	Start new attempt
Memuat cakupan bank Test…	Loading test bank scope…
Mode ujian:	Test mode:
bantuan Latin, audio, petunjuk, dan koreksi langsung dinonaktifkan. Jawaban setiap soal dikunci setelah dikirim.	Latin text, audio, hints, and immediate corrections are disabled. Each answer is locked after submission.
Attempt formal	Formal attempt
Catatan kesalahan examiner (opsional)	Examiner error notes (optional)
Catat jenis kekeliruan tanpa membocorkan kunci kepada peserta.	Record the error type without revealing answers to the participant.
Kelancaran (1–5)	Fluency (1–5)
Catatan kelancaran	Fluency notes
Catatan examiner	Examiner notes
Catatan evaluasi keseluruhan	Overall evaluation notes
Rekomendasi	Recommendation
Materi yang perlu dilanjutkan atau diulang	Material to continue or repeat
Finalisasi dan simpan nilai	Finalize and save grade
Kelola bank item Test formal	Manage formal test bank
Simpan item Test	Save test item
Data peserta individual	Individual participant data
Setiap siswa memiliki profil, progres Materi, Review, dan attempt Test yang terpisah.	Each student has a separate profile, material progress, reviews, and test attempts.
Tambah siswa	Add student
Cari siswa	Search students
Nama, panggilan, atau nomor identitas	Name, nickname, or identity number
Memuat siswa…	Loading students…
Pilih siswa untuk melihat profil dan riwayatnya.	Select a student to view their profile and history.
Data pendamping dan penilai	Teacher and examiner data
Pengajar & Penguji	Teachers & examiners
Peran dapat diatur sebagai pengajar, penguji, atau keduanya; riwayat sesi tetap dipertahankan saat profil dinonaktifkan.	Roles can be teacher, examiner, or both; session history remains when a profile is deactivated.
Tambah pengajar/penguji	Add teacher/examiner
Cari pengajar	Search teachers
Nama, panggilan, atau peran	Name, nickname, or role
Memuat pengajar…	Loading teachers…
Pilih pengajar atau penguji untuk melihat riwayatnya.	Select a teacher or examiner to view their history.
Jejak pembelajaran individual	Individual learning history
Review dan Test ditampilkan terpisah. Review tidak memiliki skor ujian formal; setiap attempt Test baru tidak menimpa hasil sebelumnya.	Review and Test appear separately. Reviews have no formal test score; new test attempts preserve previous results.
Riwayat Review	Review history
Pilih siswa untuk melihat Review.	Select a student to view reviews.
Riwayat Test formal	Formal test history
Pilih siswa untuk melihat riwayat.	Select a student to view history.
Pengaturan, offline, impor/ekspor, dan sumber	Settings, offline access, import/export, and sources
Tampilan belajar	Learning display
Ukuran huruf Arab	Arabic font size
Bantuan Latin	Latin assistance
Selalu	Always
Hanya mode Belajar	Learning mode only
Jika diminta	On request
Nonaktif	Disabled
Tampilkan arti	Show meaning
Tampilkan harakat	Show vowel marks
Warna pembelajaran	Learning colors
Pola pembeda aksesibel	Accessible distinguishing patterns
Simpan pengaturan	Save settings
Paket offline	Offline package
Cakupan	Scope
Semua pelajaran teks	All text lessons
Satu jilid	One volume
Rentang jilid	Volume range
Semua teks + audio tersedia	All text + available audio
Jilid awal	Starting volume
Jilid akhir	Ending volume
Sertakan/cache audio yang tersedia	Include/cache available audio
Sertakan contoh dan referensi Qur'an	Include examples and Qur'an references
Memuat estimasi…	Loading estimate…
Buat & pasang paket offline	Create & install offline package
Progres pribadi	Personal progress
Ekspor/impor progres tanpa menimpa kurikulum.	Export/import progress without replacing the curriculum.
Ekspor progres	Export progress
Impor progres	Import progress
Importer materi JSON/CSV	JSON/CSV material importer
Unduh template JSON	Download JSON template
Unduh template CSV	Download CSV template
Validasi	Validate
Validasi & simpan	Validate & save
Registri Aturan Tajwid	Tajwid Rule Registry
Aturan & warna anotasi	Annotation rules & colors
Sumber materi Learning	Learning material sources
Belajar dasar-dasar ibadah	Learn worship basics
Susun materi ibadah sesuai kebutuhan. Sub-bab dapat ditambah, diubah, dihapus, dan diposisikan ulang.	Arrange worship material as needed. Subchapters can be added, edited, deleted, and reordered.
Pulihkan materi awal	Restore initial material
Sub-bab Materi Ibadah	Worship material subchapters
Tampilkan full screen	Show full screen
Kelola sub-bab (CRUD)	Manage subchapters (CRUD)
Tambah sub-bab	Add subchapter
Nama sub-bab	Subchapter name
Contoh: Rukun iman	Example: Articles of faith
Tuliskan materi sub-bab...	Write subchapter material...
Tampilkan sub-bab	Show subchapter
Simpan sub-bab	Save subchapter
Tambah gambar	Add image
Sub-bab	Subchapter
Path gambar	Image path
Nama gerakan	Movement name
Penjelasan	Explanation
Simpan gambar	Save image
Terjemahan lokal · MADLAD-400-3B-MT	Local translation · MADLAD-400-3B-MT
Auto Update Tafsir & Hadis	Automatic Tafsir & Hadith updates
Terjemahan Indonesia untuk teks Arab/Inggris yang belum memiliki edisi Indonesia resmi. Diproses bertahap di background, satu bagian paragraf setiap giliran.	Indonesian translations for Arabic/English texts without an official Indonesian edition. Processed incrementally in the background, one paragraph segment at a time.
Panel otomatisasi	Automation panel
Terjemahan & progres	Translations & progress
Impor & review dokumen	Document import & review
Memuat kontrol…	Loading controls…
Muat ulang status	Refresh status
Memeriksa worker…	Checking worker…
Worker berjalan tanpa jendela, memakai satu antrean GPU dengan jeda antarbagiannya. Saat SQL/XAMPP berhenti, hasil dan checkpoint tersimpan di disk; proses menyambung otomatis saat SQL tersedia kembali. Tombol jeda berlaku setelah bagian yang sedang dikerjakan selesai.	The worker runs without a window using one GPU queue with pauses between segments. When SQL/XAMPP stops, results and checkpoints remain on disk; processing resumes when SQL returns. Pause takes effect after the current segment finishes.
Bahasa Indonesia — edisi resmi sumber	Indonesian — official source edition
Teks Indonesia dari edisi sumber yang tercatat beserta penerbit/penerjemahnya.	Indonesian text from a recorded source edition with its publisher/translator.
Bahasa Indonesia — hasil translate MADLAD-400-3B-MT	Indonesian — MADLAD-400-3B-MT translation
Versi bantuan baca hasil mesin, belum ditinjau manusia. Disimpan terpisah dan tidak mengganti teks Arab, Inggris, atau edisi resmi.	Machine-generated reading aid, not yet human-reviewed. Stored separately without replacing Arabic, English, or official editions.
Pekerjaan terbaru & hasil	Recent jobs & results
Log background & pemulihan koneksi	Background logs & connection recovery
Operasi Database	Database Operations
Sumber, sinkronisasi, dan pemulihan	Sources, synchronization, and recovery
Token admin	Admin token
Opsional pada localhost	Optional on localhost
Verifikasi database	Verify database
Buat backup	Create backup
Sinkronisasi Qur'an bertahap	Incremental Qur'an synchronization
Unduh ke staging, validasi 114/6236, lihat diff, lalu terima atau tolak. Data produksi tidak langsung ditimpa.	Download to staging, validate 114/6236, inspect differences, then accept or reject. Production data is not directly overwritten.
Arab kanonik	Canonical Arabic
Versi	Version
Download ke staging	Download to staging
Sinkron per-surah dengan checkpoint, retry, dan fallback sumber CDN yang sama. Proses dapat dilanjutkan tanpa mengulang file yang selesai.	Synchronize per surah with checkpoints, retries, and fallback to the same CDN source. Resume without repeating completed files.
Sinkron transliterasi	Synchronize transliteration
Audio Qur'an online & offline	Online & offline Qur'an audio
Provider dan URL dibaca dari registry terpusat. Pilih satu, beberapa (mis. 1,2,36), rentang (1-10), atau semua 114 surah. Queue mencegah duplikat dan dapat dilanjutkan.	Providers and URLs come from the central registry. Select one, several (e.g. 1,2,36), a range (1-10), or all 114 surahs. The queue prevents duplicates and supports resuming.
Qari	Reciter
Cakupan surah	Surah scope
1,2,36 atau 1-114	1,2,36 or 1-114
Mode file	File mode
Per ayat (kontrol lengkap)	Per verse (full controls)
Satu file per surah	One file per surah
Paralel	Parallel
Tambahkan ke queue	Add to queue
Proses batch berikutnya	Process next batch
Verifikasi file	Verify files
Hapus file lokal	Delete local files
Data warna Tajwid lengkap	Complete Tajwid color data
Impor 6.236 presentasi ayat dari markup terstruktur sumber resmi. Teks Arab kanonik tidak disentuh; checksum diperiksa sebelum dan sesudah.	Import 6,236 verse presentations from structured official-source markup. Canonical Arabic is preserved; checksums are verified before and after.
Impor / perbarui Tajwid	Import / update Tajwid
Status validasi	Validation status
Belum diperiksa.	Not checked yet.
Schema-validated, source-attributed, dan scholarly-verified adalah status berbeda.	Schema-validated, source-attributed, and scholarly-verified are distinct statuses.
Indeks Pencarian Hibrida	Hybrid Search Index
Bangun ulang indeks	Rebuild index
Jalankan benchmark	Run benchmark
Kamus Pencarian	Search Dictionary
Registri Sumber	Source Registry
Sumber terdaftar	Registered sources
Kandidat perubahan	Candidate changes
Pengelola Unduhan	Download Manager
Pekerjaan dan checkpoint	Jobs and checkpoints
Cadangkan / Pulihkan	Backup / Restore
Snapshot database	Database snapshot
Tutup	Close
Profil pembaca	Reader profile
Nama pengguna	User name
Foto (opsional)	Photo (optional)
Hapus foto	Remove photo
Simpan profil	Save profile
Hasil	Results
Tampilkan lebih banyak	Show more
Kamus istilah & alias terkurasi	Curated terminology & alias dictionary
Alias membantu pencarian, tetapi tidak otomatis mengubah hubungan dalil yang authoritative.	Aliases assist search without automatically changing authoritative evidence relationships.
Registri	Registry
Alias pencarian	Search aliases
Istilah Islam	Islamic terms
Istilah kanonik	Canonical term
mis. pemimpin	e.g. leader
mis. penguasa	e.g. ruler
Tipe	Type
Semantik	Semantic
Agama	Religious
Nama populer	Popular name
Simpan alias	Save alias
CRUD Pengenalan Hijaiyah	Arabic letter introduction CRUD
Kunci	Key
Huruf tunggal	Isolated letter
Nama Indonesia	Indonesian name
Nama English	English name
Bentuk awal	Initial form
Bentuk tengah	Medial form
Bentuk akhir	Final form
URL audio	Audio URL
Contoh, pisahkan dengan koma/baris	Examples, separated by commas/lines
Catatan pembelajaran	Learning notes
Jenis sambungan	Joining type
Dua arah	Both directions
Ke huruf sebelumnya	To the preceding letter
Tidak menyambung	Non-joining
Menyambung ke sebelumnya	Joins to previous
Menyambung ke berikutnya	Joins to next
Simpan huruf	Save letter
Batal	Cancel
CRUD siswa individual	Individual student CRUD
Nama lengkap	Full name
Nama panggilan	Nickname
Nomor identitas	Identity number
Tanggal lahir	Date of birth
Kelas / kelompok	Class / group
Wali	Guardian
Kontak	Contact
Tanggal mulai	Start date
Jilid aktif	Active volume
Belum ditentukan	Not specified
Catatan	Notes
Simpan siswa	Save student
CRUD pengajar dan penguji	Teacher and examiner CRUD
Peran	Role
Penguji	Examiner
Pengajar & penguji	Teacher & examiner
Simpan pengajar/penguji	Save teacher/examiner
Pengatur Latar & Overlay Universal	Universal Background & Overlay Customizer
Pengaturan tampilan universal	Universal display orchestration
Background, Informasi & Overlay	Background, Information & Overlay
Pilih media, susun informasi, tentukan waktu tampil, lalu uji. Mode lanjutan tersedia tanpa mengganggu alur sederhana.	Select media, arrange information, set display times, then test. Advanced mode is available alongside the simple workflow.
Daftar overlay	Overlay list
Mode tampilan	Display mode
Sederhana	Simple
Lanjutan	Advanced
Opsional di localhost	Optional on localhost
Muat ulang semua	Reload all
Database Qur'an & Hadith	Qur'an & Hadith database
Buka layar utama	Open main display
Tambah custom	Add custom overlay
Restore semua default	Restore all defaults
Memuat konfigurasi...	Loading configuration...
Bagian konfigurasi	Configuration sections
Waktu salat	Prayer times
Konten	Content
Tampilan	Appearance
Prioritas	Priority
Jenazah/Ghaib	Funeral/absentee prayer
Pratinjau	Preview
Pratinjau index.html	Preview index.html
Buka semua bagian	Open all sections
Pilih kelompok yang akan diatur	Select a group to configure
Restore default	Restore defaults
Kelompok pengaturan waktu salat	Prayer time settings groups
Fardhu	Obligatory prayers
Jumat	Friday
Durasi per state	Duration per state
Pra-adzan semua (menit)	All pre-adzan periods (minutes)
Adzan semua (menit)	All adzan periods (minutes)
Iqamah semua (menit)	All iqamah periods (minutes)
Pelaksanaan semua (menit)	All prayer periods (minutes)
Terapkan ke semua salat	Apply to all prayers
Salat	Prayer
Durasi (menit)	Duration (minutes)
Latar belakang	Background
Khusus Jumat	Friday settings
Informasi dan Pelaksanaan Salat Jumat	Friday prayer information and performance
Informasi tampil setelah rangkaian Subuh selesai sampai 15 menit sebelum Dzuhur. Pada hari Jumat seluruh rangkaian Dzuhur diganti hanya oleh pelaksanaan Jumat 45 menit mulai tepat waktu Dzuhur.	Information appears after the Fajr sequence until 15 minutes before Dhuhr. On Fridays, the Dhuhr sequence is replaced by a 45-minute Friday prayer period starting at Dhuhr.
Tahap	Stage
Durasi / batas (menit)	Duration / limit (minutes)
Durasi tampil hanya mengatur lamanya reminder terlihat. Countdown menunjukkan remaining menuju transisi berikutnya: Awwal ke Wustha, Wustha ke Awwabin, dan Awwabin ke waktu Dzuhur.	Display duration controls how long reminders appear. The countdown shows time until the next transition: Awwal to Wustha, Wustha to Awwabin, and Awwabin to Dhuhr.
Fase	Phase
Overlay tampil (detik)	Overlay display (seconds)
Interval reminder (menit)	Reminder interval (minutes)
Ibadah malam	Night worship
Anchor dihitung dari Maghrib sampai Subuh berikutnya. Kolom tampil mengatur lamanya overlay muncul; countdown pada sepertiga malam terakhir menunjukkan sisa waktu Qiyamul sampai batas persiapan Subuh, bukan sisa durasi overlay.	Anchors are calculated from Maghrib to the following Fajr. Display fields control overlay duration; the last-third countdown shows remaining Qiyamul time until Fajr preparation.
Jarak / interval (menit)	Offset / interval (minutes)
Perubahan pada seluruh kelompok disimpan bersama.	Changes across all groups are saved together.
Simpan timing ke SQL	Save timing to SQL
Definisi generik	Generic definition
Konten, prioritas, dan trigger	Content, priority, and triggers
Mulai dari contoh siap pakai	Start with a ready-made example
Pilih bentuk tampilan; semua isinya tetap dapat diedit sesudah diterapkan.	Select a display format; all content remains editable after applying it.
Terapkan preset	Apply preset
Identitas teknis, prioritas, konflik, dan lapisan	Technical identity, priority, conflicts, and layers
Jenis	Type
Saat terinterupsi	When interrupted
Jeda lalu lanjut	Pause then resume
Masuk antrean	Queue
Hentikan	Stop
Ganti	Replace
Tetap bertumpuk	Keep stacked
Rotasi	Rotate
Sembunyikan	Hide
Konflik dengan overlay lain	Conflicts with other overlays
Ganti overlay prioritas lebih rendah	Replace lower-priority overlays
Tumpuk sebagai lapisan	Stack as a layer
Antrekan	Enqueue
Rotasi bergantian	Rotate in turn
Jangan tampil saat konflik	Do not display during conflicts
Lapisan	Layer
Informasi tetap	Persistent information
Konten utama	Main content
Peringatan	Alert
Urutan lapisan	Layer order
Durasi default (detik)	Default duration (seconds)
Animasi	Animation
Pudar	Fade
Aktif pada layar utama	Enabled on main display
Boleh diinterupsi overlay dengan prioritas lebih tinggi	Allow interruption by higher-priority overlays
Cakupan lokasi	Location scope
Efek scope	Scope effect
Tampilkan di area ini	Display in this area
Jangan tampil di area ini	Exclude this area
Seluruh sistem	Entire system
Halaman tertentu	Specific page
Salat tertentu	Specific prayer
